"math" "writing" "gender" "race.ethnicity" "parental.level.of.education" "lunch" "test.preparation.course"
82 4336.2176 "female" "group E" "associate's degree" "standard" "completed"
52 1231.3441 "male" "group D" "associate's degree" "standard" "none"
58 1530.8416 "male" "group D" "some college" "standard" "completed"
0 1000 "female" "group C" "some high school" "free/reduced" "none"
79 2477.6336 "male" "group E" "bachelor's degree" "free/reduced" "completed"
39 1033.1776 "male" "group A" "some high school" "free/reduced" "none"
62 1410.0625 "male" "group A" "associate's degree" "free/reduced" "none"
69 2384.5841 "female" "group C" "associate's degree" "standard" "none"
59 1576.4801 "female" "group D" "some high school" "standard" "none"
67 1676.5201 "male" "group B" "some high school" "standard" "none"
45 1053.1441 "male" "group D" "some high school" "free/reduced" "none"
60 2677.7216 "female" "group C" "some college" "standard" "none"
61 1447.7456 "male" "group B" "associate's degree" "free/reduced" "none"
39 1487.9681 "female" "group C" "associate's degree" "standard" "none"
58 2575.2961 "female" "group D" "some college" "free/reduced" "completed"
63 1789.0481 "male" "group D" "some college" "standard" "completed"
41 1208.5136 "female" "group A" "associate's degree" "free/reduced" "none"
61 1447.7456 "male" "group C" "some high school" "free/reduced" "none"
49 1092.3521 "male" "group C" "some high school" "standard" "none"
44 1061.4656 "male" "group B" "associate's degree" "free/reduced" "none"
30 1002.0736 "male" "group E" "some high school" "standard" "none"
80 3541.1681 "male" "group A" "bachelor's degree" "standard" "completed"
61 2477.6336 "female" "group D" "some high school" "standard" "completed"
62 2131.6496 "female" "group E" "master's degree" "standard" "none"
47 1256 "female" "group B" "associate's degree" "standard" "none"
49 1150.0625 "male" "group B" "high school" "free/reduced" "none"
50 1374.8096 "male" "group A" "some college" "free/reduced" "completed"
72 1789.0481 "male" "group E" "associate's degree" "standard" "none"
42 1033.1776 "male" "group D" "high school" "free/reduced" "none"
73 3687.3856 "female" "group C" "some college" "standard" "none"
76 4701.5056 "female" "group C" "some college" "free/reduced" "none"
71 2677.7216 "female" "group D" "associate's degree" "standard" "none"
58 2055.6001 "female" "group A" "some college" "standard" "none"
73 3687.3856 "female" "group D" "some high school" "standard" "none"
65 2677.7216 "female" "group C" "bachelor's degree" "standard" "none"
27 1045.6976 "male" "group C" "high school" "free/reduced" "none"
71 2384.5841 "male" "group C" "high school" "standard" "none"
43 1256 "male" "group C" "associate's degree" "free/reduced" "completed"
79 5521.2176 "female" "group B" "some college" "standard" "none"
78 3687.3856 "male" "group C" "associate's degree" "free/reduced" "completed"
65 1731.1616 "male" "group B" "some high school" "standard" "completed"
63 2296 "female" "group E" "some college" "standard" "completed"
58 1731.1616 "female" "group D" "some college" "free/reduced" "none"
65 1731.1616 "female" "group D" "bachelor's degree" "standard" "none"
79 2055.6001 "male" "group B" "some college" "standard" "none"
68 2677.7216 "male" "group D" "bachelor's degree" "standard" "completed"
85 4895.0081 "female" "group D" "associate's degree" "standard" "none"
60 1187.4161 "male" "group B" "high school" "standard" "completed"
98 5096 "male" "group C" "some college" "standard" "completed"
58 2477.6336 "female" "group C" "some college" "standard" "none"
87 7561 "female" "group D" "master's degree" "standard" "none"
66 1850.3056 "male" "group E" "associate's degree" "standard" "completed"
52 2296 "female" "group B" "associate's degree" "free/reduced" "none"
70 2477.6336 "female" "group B" "some high school" "standard" "none"
77 6996.9536 "female" "group D" "associate's degree" "free/reduced" "completed"
62 1231.3441 "male" "group C" "high school" "standard" "none"
54 1187.4161 "male" "group A" "associate's degree" "standard" "none"
51 1374.8096 "female" "group D" "some college" "standard" "none"
99 7561 "female" "group E" "bachelor's degree" "standard" "completed"
84 2677.7216 "male" "group C" "high school" "standard" "none"
75 3687.3856 "female" "group B" "bachelor's degree" "free/reduced" "none"
78 3266.7121 "female" "group D" "bachelor's degree" "standard" "none"
51 1676.5201 "female" "group D" "some high school" "standard" "none"
55 1915.0625 "female" "group C" "some college" "standard" "none"
79 4895.0081 "female" "group C" "bachelor's degree" "standard" "completed"
91 5521.2176 "male" "group B" "associate's degree" "standard" "completed"
88 5745.8321 "female" "group C" "some college" "standard" "completed"
63 1447.7456 "male" "group D" "high school" "free/reduced" "none"
83 2575.2961 "male" "group E" "some college" "standard" "none"
87 4336.2176 "female" "group B" "high school" "standard" "none"
72 2055.6001 "male" "group B" "some high school" "standard" "none"
65 2677.7216 "male" "group D" "some college" "standard" "completed"
82 2677.7216 "male" "group D" "master's degree" "standard" "none"
51 1282.5761 "female" "group A" "bachelor's degree" "standard" "none"
89 3687.3856 "male" "group D" "master's degree" "standard" "none"
53 1081 "male" "group C" "some high school" "free/reduced" "completed"
87 2296 "male" "group E" "some college" "free/reduced" "completed"
75 3998.6576 "female" "group C" "some college" "standard" "completed"
74 2785.0625 "male" "group D" "bachelor's degree" "free/reduced" "completed"
58 1208.5136 "male" "group C" "bachelor's degree" "standard" "none"
51 1092.3521 "male" "group B" "some high school" "standard" "completed"
70 1447.7456 "male" "group E" "high school" "standard" "none"
59 2055.6001 "female" "group C" "associate's degree" "standard" "none"
71 2211.7361 "male" "group D" "some college" "standard" "completed"
76 2384.5841 "female" "group D" "some high school" "standard" "none"
59 1850.3056 "female" "group C" "some college" "free/reduced" "none"
42 1374.8096 "female" "group E" "some college" "free/reduced" "completed"
57 1187.4161 "male" "group A" "high school" "standard" "none"
88 3138.1376 "male" "group D" "some college" "standard" "none"
22 1027.9841 "female" "group C" "some college" "free/reduced" "none"
88 2785.0625 "male" "group B" "some high school" "standard" "none"
73 1983.4496 "male" "group C" "associate's degree" "free/reduced" "none"
68 3541.1681 "female" "group D" "bachelor's degree" "standard" "completed"
100 5745.8321 "male" "group E" "associate's degree" "free/reduced" "completed"
62 2211.7361 "male" "group A" "some high school" "standard" "completed"
77 2131.6496 "male" "group A" "bachelor's degree" "standard" "none"
59 1983.4496 "female" "group B" "associate's degree" "standard" "completed"
54 1187.4161 "male" "group D" "bachelor's degree" "standard" "none"
62 1676.5201 "male" "group D" "some high school" "standard" "none"
70 4701.5056 "female" "group C" "some college" "standard" "completed"
66 3138.1376 "female" "group E" "high school" "free/reduced" "completed"
60 1625 "male" "group B" "some college" "free/reduced" "none"
61 4515.3041 "female" "group B" "associate's degree" "standard" "completed"
66 1850.3056 "male" "group D" "associate's degree" "free/reduced" "none"
82 2677.7216 "male" "group B" "associate's degree" "free/reduced" "completed"
75 4164.0625 "female" "group E" "some college" "free/reduced" "completed"
49 1311.1696 "male" "group B" "master's degree" "free/reduced" "none"
52 1231.3441 "male" "group C" "high school" "standard" "none"
81 5304.6721 "female" "group E" "master's degree" "standard" "none"
96 7561 "female" "group C" "bachelor's degree" "standard" "completed"
53 1282.5761 "male" "group C" "high school" "free/reduced" "completed"
58 3138.1376 "female" "group B" "master's degree" "free/reduced" "completed"
68 3138.1376 "female" "group B" "high school" "standard" "completed"
67 2296 "female" "group C" "some college" "free/reduced" "completed"
72 2677.7216 "male" "group A" "high school" "standard" "completed"
94 3138.1376 "male" "group E" "some high school" "standard" "none"
79 3541.1681 "female" "group D" "some college" "standard" "none"
63 2296 "female" "group C" "associate's degree" "standard" "none"
43 1374.8096 "female" "group C" "bachelor's degree" "free/reduced" "completed"
81 4515.3041 "female" "group C" "master's degree" "standard" "completed"
46 1530.8416 "female" "group B" "high school" "free/reduced" "completed"
71 3015.1121 "female" "group C" "associate's degree" "standard" "completed"
52 1731.1616 "female" "group B" "master's degree" "free/reduced" "completed"
97 7561 "female" "group D" "some high school" "standard" "completed"
62 2785.0625 "male" "group C" "master's degree" "free/reduced" "completed"
46 1983.4496 "female" "group C" "some college" "free/reduced" "none"
50 1187.4161 "female" "group E" "high school" "standard" "none"
65 2296 "female" "group D" "associate's degree" "standard" "none"
45 1231.3441 "male" "group C" "some high school" "free/reduced" "completed"
65 1915.0625 "male" "group C" "associate's degree" "free/reduced" "completed"
80 1915.0625 "male" "group E" "high school" "standard" "none"
62 2131.6496 "male" "group D" "some high school" "standard" "completed"
48 1150.0625 "male" "group B" "some high school" "free/reduced" "none"
77 4515.3041 "female" "group C" "bachelor's degree" "standard" "none"
66 2211.7361 "female" "group E" "associate's degree" "standard" "none"
76 3266.7121 "male" "group D" "some college" "standard" "completed"
62 1983.4496 "female" "group B" "some high school" "standard" "none"
77 1731.1616 "male" "group D" "some college" "standard" "completed"
69 4164.0625 "female" "group C" "master's degree" "standard" "completed"
61 1311.1696 "male" "group D" "associate's degree" "standard" "none"
59 1915.0625 "male" "group C" "some high school" "free/reduced" "completed"
55 1282.5761 "male" "group E" "high school" "free/reduced" "none"
45 1410.0625 "female" "group B" "some college" "free/reduced" "none"
78 2897.4736 "female" "group B" "bachelor's degree" "free/reduced" "none"
67 4336.2176 "female" "group C" "associate's degree" "standard" "completed"
65 3015.1121 "female" "group D" "some college" "free/reduced" "none"
69 2211.7361 "male" "group C" "associate's degree" "standard" "none"
57 2131.6496 "female" "group B" "associate's degree" "standard" "none"
59 1104.8576 "male" "group C" "some college" "standard" "none"
74 3138.1376 "male" "group D" "some high school" "standard" "completed"
82 1731.1616 "male" "group E" "bachelor's degree" "standard" "none"
81 2897.4736 "male" "group E" "high school" "standard" "completed"
74 2897.4736 "female" "group B" "some college" "free/reduced" "none"
58 1983.4496 "female" "group B" "some college" "free/reduced" "none"
80 3266.7121 "male" "group D" "some high school" "free/reduced" "completed"
35 1008.3521 "male" "group C" "some college" "free/reduced" "none"
42 1625 "female" "group C" "high school" "free/reduced" "none"
60 1447.7456 "male" "group C" "associate's degree" "free/reduced" "completed"
87 3541.1681 "male" "group E" "high school" "standard" "completed"
84 2785.0625 "male" "group B" "some high school" "standard" "completed"
83 4701.5056 "female" "group E" "associate's degree" "free/reduced" "completed"
34 1070.7281 "female" "group C" "high school" "free/reduced" "none"
66 2296 "male" "group B" "high school" "free/reduced" "none"
61 1447.7456 "male" "group B" "some high school" "standard" "completed"
56 2677.7216 "female" "group D" "high school" "standard" "completed"
87 2575.2961 "male" "group B" "associate's degree" "standard" "none"
55 1731.1616 "female" "group C" "some high school" "free/reduced" "none"
86 2785.0625 "male" "group D" "some high school" "standard" "none"
52 2575.2961 "female" "group B" "associate's degree" "standard" "completed"
45 1374.8096 "female" "group E" "master's degree" "free/reduced" "none"
72 2384.5841 "female" "group C" "some college" "standard" "none"
57 1374.8096 "male" "group D" "high school" "standard" "none"
68 1850.3056 "male" "group A" "some high school" "free/reduced" "none"
88 5978.7136 "female" "group C" "some college" "standard" "completed"
76 1983.4496 "male" "group D" "some college" "standard" "none"
46 1104.8576 "male" "group C" "associate's degree" "standard" "none"
67 3839.8241 "female" "group B" "bachelor's degree" "standard" "none"
92 3138.1376 "male" "group E" "some high school" "standard" "none"
83 3998.6576 "male" "group C" "bachelor's degree" "standard" "completed"
80 3015.1121 "male" "group D" "associate's degree" "standard" "none"
63 2055.6001 "male" "group D" "bachelor's degree" "free/reduced" "none"
64 2677.7216 "female" "group D" "some high school" "standard" "completed"
54 1282.5761 "male" "group B" "some college" "standard" "none"
84 3401 "male" "group C" "associate's degree" "standard" "none"
73 1983.4496 "male" "group D" "high school" "free/reduced" "completed"
80 3839.8241 "female" "group E" "bachelor's degree" "standard" "none"
56 1410.0625 "female" "group D" "high school" "standard" "none"
59 1118.5921 "male" "group E" "some college" "standard" "none"
75 2211.7361 "male" "group D" "some high school" "standard" "none"
85 2384.5841 "male" "group C" "associate's degree" "standard" "none"
89 2677.7216 "male" "group E" "associate's degree" "standard" "none"
58 2131.6496 "female" "group B" "high school" "standard" "completed"
65 1731.1616 "female" "group B" "high school" "standard" "none"
68 1341.8801 "male" "group C" "high school" "standard" "none"
47 1231.3441 "male" "group A" "some high school" "standard" "completed"
71 3839.8241 "female" "group D" "some college" "free/reduced" "none"
60 2296 "female" "group B" "some high school" "standard" "completed"
80 2477.6336 "male" "group D" "master's degree" "standard" "none"
54 1311.1696 "male" "group D" "high school" "standard" "none"
62 2296 "female" "group E" "some college" "standard" "none"
64 2131.6496 "female" "group C" "associate's degree" "free/reduced" "none"
78 3015.1121 "male" "group C" "associate's degree" "standard" "completed"
70 3138.1376 "female" "group B" "some college" "standard" "none"
65 3541.1681 "female" "group C" "master's degree" "free/reduced" "completed"
64 3015.1121 "female" "group C" "some high school" "free/reduced" "completed"
79 3138.1376 "male" "group C" "some college" "standard" "completed"
44 1282.5761 "female" "group C" "some high school" "free/reduced" "none"
99 5096 "female" "group E" "high school" "standard" "none"
76 2131.6496 "male" "group D" "high school" "standard" "none"
59 1092.3521 "male" "group D" "some high school" "free/reduced" "none"
63 3541.1681 "female" "group C" "bachelor's degree" "standard" "none"
69 3015.1121 "female" "group D" "high school" "standard" "none"
88 6220.0625 "female" "group D" "associate's degree" "standard" "completed"
71 2296 "female" "group E" "some college" "free/reduced" "none"
69 1676.5201 "male" "group C" "bachelor's degree" "standard" "none"
58 1104.8576 "male" "group C" "some college" "standard" "none"
47 1530.8416 "female" "group D" "associate's degree" "free/reduced" "none"
65 2384.5841 "female" "group D" "some college" "standard" "none"
88 2897.4736 "male" "group B" "some college" "standard" "completed"
83 2575.2961 "male" "group C" "bachelor's degree" "standard" "none"
85 5745.8321 "female" "group C" "some high school" "standard" "completed"
59 2785.0625 "female" "group E" "high school" "standard" "completed"
65 3401 "female" "group C" "some high school" "free/reduced" "none"
73 1487.9681 "male" "group B" "bachelor's degree" "free/reduced" "none"
53 1104.8576 "male" "group D" "high school" "standard" "none"
45 1167.9616 "male" "group D" "high school" "standard" "none"
73 3998.6576 "female" "group D" "bachelor's degree" "free/reduced" "none"
70 3138.1376 "female" "group D" "some college" "free/reduced" "completed"
37 1167.9616 "female" "group B" "some high school" "standard" "none"
81 3687.3856 "male" "group B" "associate's degree" "standard" "completed"
97 4701.5056 "male" "group E" "associate's degree" "standard" "completed"
67 3687.3856 "female" "group B" "some high school" "standard" "none"
88 2897.4736 "male" "group B" "bachelor's degree" "free/reduced" "none"
77 3015.1121 "male" "group E" "some high school" "standard" "completed"
76 2131.6496 "male" "group C" "associate's degree" "standard" "none"
86 2296 "male" "group D" "some high school" "standard" "none"
63 1487.9681 "male" "group C" "some high school" "standard" "completed"
65 2785.0625 "female" "group E" "bachelor's degree" "standard" "none"
78 3401 "male" "group D" "high school" "free/reduced" "completed"
67 1625 "male" "group B" "associate's degree" "free/reduced" "none"
46 1118.5921 "male" "group A" "some high school" "standard" "completed"
71 2131.6496 "male" "group E" "associate's degree" "standard" "completed"
40 1256 "male" "group C" "high school" "free/reduced" "completed"
90 2785.0625 "male" "group D" "associate's degree" "free/reduced" "none"
81 3541.1681 "male" "group A" "some college" "free/reduced" "completed"
56 1311.1696 "male" "group D" "some high school" "free/reduced" "none"
67 3541.1681 "female" "group C" "associate's degree" "standard" "completed"
80 1850.3056 "male" "group B" "associate's degree" "standard" "none"
74 3839.8241 "female" "group C" "associate's degree" "standard" "completed"
69 2211.7361 "male" "group A" "some college" "standard" "none"
99 3541.1681 "male" "group E" "some college" "standard" "completed"
51 1133.6336 "male" "group C" "some high school" "standard" "none"
53 2055.6001 "female" "group B" "associate's degree" "free/reduced" "none"
49 1311.1696 "female" "group D" "high school" "free/reduced" "none"
73 3401 "female" "group B" "associate's degree" "standard" "none"
66 1487.9681 "male" "group B" "bachelor's degree" "standard" "none"
67 2131.6496 "male" "group D" "bachelor's degree" "standard" "completed"
68 2211.7361 "female" "group C" "associate's degree" "free/reduced" "completed"
59 2785.0625 "female" "group C" "bachelor's degree" "standard" "completed"
71 1915.0625 "male" "group C" "high school" "standard" "none"
77 5304.6721 "female" "group D" "master's degree" "standard" "completed"
83 3138.1376 "male" "group C" "associate's degree" "standard" "none"
63 2211.7361 "male" "group B" "bachelor's degree" "standard" "none"
56 1789.0481 "female" "group D" "associate's degree" "free/reduced" "none"
67 3998.6576 "female" "group C" "high school" "free/reduced" "completed"
75 3266.7121 "female" "group E" "high school" "standard" "none"
71 3401 "female" "group C" "some college" "standard" "none"
43 1341.8801 "female" "group C" "some high school" "free/reduced" "none"
41 1118.5921 "female" "group C" "high school" "free/reduced" "none"
82 5978.7136 "female" "group C" "some college" "standard" "none"
61 1731.1616 "male" "group C" "some college" "standard" "none"
28 1000.6561 "male" "group A" "some college" "free/reduced" "none"
82 3015.1121 "male" "group C" "associate's degree" "standard" "completed"
41 1282.5761 "female" "group B" "some high school" "standard" "none"
71 1676.5201 "male" "group C" "high school" "standard" "none"
47 1039.0625 "male" "group C" "associate's degree" "standard" "none"
62 1341.8801 "male" "group E" "associate's degree" "standard" "completed"
90 3541.1681 "male" "group B" "associate's degree" "standard" "none"
83 6220.0625 "female" "group C" "bachelor's degree" "standard" "none"
61 1983.4496 "female" "group B" "some college" "free/reduced" "none"
76 2211.7361 "male" "group D" "some high school" "standard" "completed"
49 1118.5921 "male" "group C" "associate's degree" "standard" "none"
24 1008.3521 "female" "group B" "some high school" "free/reduced" "none"
35 1625 "female" "group D" "some high school" "free/reduced" "completed"
58 1311.1696 "male" "group C" "high school" "free/reduced" "none"
61 1789.0481 "female" "group C" "high school" "standard" "none"
69 2677.7216 "female" "group B" "high school" "standard" "completed"
67 2055.6001 "male" "group D" "associate's degree" "standard" "completed"
79 2055.6001 "male" "group D" "some college" "standard" "none"
72 2785.0625 "female" "group C" "high school" "standard" "none"
62 1487.9681 "male" "group B" "some college" "standard" "none"
77 6220.0625 "female" "group C" "bachelor's degree" "standard" "completed"
75 1983.4496 "male" "group D" "high school" "free/reduced" "none"
87 2897.4736 "male" "group E" "associate's degree" "standard" "none"
52 2211.7361 "female" "group B" "bachelor's degree" "standard" "none"
66 1311.1696 "male" "group E" "some college" "standard" "none"
63 3401 "female" "group C" "some college" "standard" "completed"
46 1487.9681 "female" "group C" "associate's degree" "standard" "none"
59 2296 "female" "group C" "some college" "standard" "none"
61 2296 "female" "group B" "bachelor's degree" "standard" "none"
63 1676.5201 "male" "group A" "associate's degree" "standard" "none"
42 2211.7361 "female" "group C" "some college" "free/reduced" "completed"
59 1676.5201 "male" "group D" "some college" "free/reduced" "none"
80 4895.0081 "female" "group D" "some college" "standard" "none"
58 1576.4801 "female" "group B" "high school" "standard" "none"
85 3138.1376 "male" "group B" "some high school" "standard" "completed"
52 1530.8416 "female" "group C" "some college" "standard" "none"
27 1023.4256 "female" "group D" "some high school" "free/reduced" "none"
59 1530.8416 "male" "group C" "some college" "standard" "none"
49 1625 "male" "group A" "bachelor's degree" "free/reduced" "completed"
69 1341.8801 "male" "group C" "high school" "standard" "completed"
61 1676.5201 "male" "group C" "bachelor's degree" "free/reduced" "none"
44 1530.8416 "female" "group A" "some high school" "free/reduced" "none"
73 4164.0625 "female" "group D" "some high school" "standard" "none"
84 2384.5841 "male" "group E" "some college" "standard" "none"
45 2296 "female" "group C" "some college" "free/reduced" "completed"
74 2477.6336 "male" "group D" "some high school" "standard" "none"
82 6470.0816 "female" "group D" "some college" "standard" "completed"
59 2575.2961 "female" "group D" "bachelor's degree" "standard" "none"
46 1092.3521 "male" "group E" "associate's degree" "free/reduced" "none"
80 3687.3856 "female" "group D" "some high school" "standard" "none"
85 7561 "female" "group D" "master's degree" "free/reduced" "completed"
71 3015.1121 "female" "group A" "some high school" "standard" "none"
66 1731.1616 "male" "group A" "bachelor's degree" "standard" "none"
80 3839.8241 "female" "group B" "associate's degree" "standard" "none"
87 6220.0625 "male" "group C" "associate's degree" "standard" "completed"
79 2384.5841 "male" "group C" "master's degree" "free/reduced" "none"
38 1150.0625 "female" "group E" "some high school" "free/reduced" "none"
38 1118.5921 "female" "group A" "some high school" "free/reduced" "none"
67 2785.0625 "female" "group E" "some college" "standard" "none"
64 2296 "female" "group E" "bachelor's degree" "standard" "none"
57 2055.6001 "female" "group C" "associate's degree" "free/reduced" "none"
62 1850.3056 "female" "group D" "high school" "standard" "none"
73 2785.0625 "male" "group D" "master's degree" "standard" "none"
73 1576.4801 "male" "group E" "some high school" "free/reduced" "completed"
77 3015.1121 "female" "group D" "some college" "standard" "none"
76 2055.6001 "male" "group E" "some college" "standard" "none"
57 1447.7456 "male" "group C" "associate's degree" "standard" "completed"
65 3015.1121 "female" "group C" "some high school" "standard" "completed"
48 1092.3521 "male" "group A" "high school" "free/reduced" "none"
50 1789.0481 "female" "group B" "high school" "free/reduced" "none"
85 6220.0625 "female" "group C" "associate's degree" "standard" "none"
74 1487.9681 "male" "group B" "some high school" "standard" "none"
60 1374.8096 "male" "group D" "some high school" "standard" "none"
59 2055.6001 "female" "group C" "some high school" "standard" "completed"
53 1118.5921 "male" "group A" "some college" "standard" "none"
49 1410.0625 "female" "group A" "some college" "free/reduced" "none"
88 7561 "female" "group D" "high school" "standard" "completed"
54 1731.1616 "female" "group C" "high school" "standard" "none"
63 2131.6496 "female" "group C" "some high school" "standard" "none"
65 1789.0481 "male" "group B" "associate's degree" "standard" "completed"
82 3015.1121 "female" "group B" "associate's degree" "standard" "none"
52 1447.7456 "female" "group D" "high school" "free/reduced" "completed"
87 4164.0625 "male" "group D" "associate's degree" "standard" "completed"
70 2677.7216 "female" "group D" "master's degree" "standard" "completed"
84 3138.1376 "male" "group E" "some college" "standard" "completed"
71 1625 "male" "group D" "associate's degree" "standard" "none"
63 2055.6001 "male" "group B" "some high school" "standard" "completed"
51 3266.7121 "female" "group C" "bachelor's degree" "free/reduced" "completed"
84 2211.7361 "male" "group E" "high school" "standard" "none"
71 2131.6496 "male" "group C" "bachelor's degree" "standard" "completed"
74 2055.6001 "male" "group C" "associate's degree" "standard" "none"
68 1731.1616 "male" "group D" "some college" "standard" "none"
57 1374.8096 "male" "group E" "high school" "free/reduced" "completed"
82 5745.8321 "female" "group C" "associate's degree" "free/reduced" "completed"
57 1850.3056 "female" "group D" "high school" "standard" "completed"
47 2055.6001 "female" "group D" "master's degree" "free/reduced" "completed"
59 3401 "female" "group A" "some high school" "standard" "completed"
41 1033.1776 "male" "group B" "some college" "free/reduced" "none"
62 1731.1616 "female" "group C" "some college" "free/reduced" "none"
86 4336.2176 "male" "group C" "bachelor's degree" "standard" "none"
69 1915.0625 "male" "group C" "some high school" "free/reduced" "none"
65 1341.8801 "male" "group A" "some high school" "free/reduced" "none"
68 1374.8096 "male" "group C" "some high school" "free/reduced" "none"
64 1576.4801 "male" "group C" "associate's degree" "free/reduced" "none"
61 2296 "female" "group C" "high school" "standard" "none"
61 1410.0625 "male" "group C" "high school" "standard" "none"
47 1256 "female" "group A" "some high school" "free/reduced" "none"
73 1983.4496 "male" "group C" "some high school" "standard" "none"
50 1341.8801 "male" "group C" "some college" "free/reduced" "completed"
75 1850.3056 "male" "group D" "associate's degree" "standard" "none"
75 2575.2961 "male" "group D" "associate's degree" "free/reduced" "none"
70 1282.5761 "male" "group C" "high school" "standard" "none"
89 3687.3856 "male" "group D" "some high school" "standard" "completed"
67 3266.7121 "female" "group C" "some college" "standard" "completed"
78 3401 "female" "group D" "high school" "standard" "none"
59 2211.7361 "female" "group A" "some high school" "free/reduced" "none"
73 2897.4736 "female" "group B" "associate's degree" "standard" "none"
79 2575.2961 "male" "group A" "some high school" "free/reduced" "none"
67 3015.1121 "female" "group C" "some high school" "standard" "completed"
69 1625 "male" "group D" "some college" "free/reduced" "none"
86 3401 "male" "group C" "high school" "standard" "completed"
47 1104.8576 "male" "group B" "high school" "standard" "none"
81 2477.6336 "male" "group B" "associate's degree" "standard" "none"
64 4164.0625 "female" "group C" "some college" "free/reduced" "completed"
100 6728.9761 "female" "group E" "some college" "standard" "none"
65 2677.7216 "female" "group C" "associate's degree" "free/reduced" "none"
65 1231.3441 "male" "group C" "some college" "free/reduced" "none"
53 1731.1616 "female" "group C" "associate's degree" "free/reduced" "none"
37 1187.4161 "male" "group C" "bachelor's degree" "free/reduced" "none"
79 4895.0081 "female" "group D" "bachelor's degree" "standard" "none"
53 1208.5136 "male" "group D" "associate's degree" "free/reduced" "none"
100 7561 "female" "group E" "bachelor's degree" "standard" "none"
72 2131.6496 "male" "group B" "high school" "standard" "completed"
53 1410.0625 "male" "group C" "bachelor's degree" "free/reduced" "none"
54 1150.0625 "male" "group B" "some college" "free/reduced" "none"
71 2897.4736 "female" "group E" "some college" "standard" "none"
77 5304.6721 "female" "group C" "some college" "free/reduced" "none"
75 1731.1616 "male" "group A" "bachelor's degree" "standard" "completed"
84 5304.6721 "female" "group C" "some college" "standard" "none"
26 1061.4656 "female" "group D" "associate's degree" "free/reduced" "none"
72 1915.0625 "male" "group A" "high school" "free/reduced" "completed"
77 4164.0625 "female" "group A" "high school" "free/reduced" "completed"
